claim_id,policy_id,customer_id,policy_type,vehicle_segment,incident_type,incident_date,claim_reported,total_claim_amount,repair_estimate,police_report_available,injury_severity,policy_annual_mileage,insured_zip,insured_city,insured_state,fraud_reported
C54041290,P9414096,U132543,Comprehensive,Hatchback,Single Vehicle,04/09/2024,04/14/2024,18871.86,13529.74,Yes,None,13458,500007,Hyderabad,Telangana,Yes
C95574869,P6369064,U823800,Comprehensive,SUV,Side Collision,04/12/2023,05/10/2023,35801.33,33607.43,Yes,None,15144,560009,Bengaluru,Karnataka,Yes
C03214675,P3868892,U860752,Comprehensive,Van,Head-on,01/26/2023,01/31/2023,55951.06,55416.19,Yes,None,8525,411002,Pune,Maharashtra,No
C29663243,P8300914,U525092,Comprehensive,Hatchback,Rear Collision,11/18/2023,11/19/2023,11276.04,10251.29,Yes,None,13772,400008,Mumbai,Maharashtra,Yes
C89756583,P2121196,U017848,Comprehensive,Hatchback,Rear Collision,02/18/2023,02/23/2023,11409.43,8076.43,No,None,7524,226010,Lucknow,Uttar Pradesh,No
C84311140,P8142550,U140721,Comprehensive,Sedan,Theft,08/14/2025,08/24/2025,45310.06,35041.05,Yes,None,1460,110010,Delhi,Delhi,No
C92068891,P3959316,U777996,Comprehensive,Sedan,Rear Collision,12/05/2023,12/10/2023,43179.35,34229.88,Yes,None,14696,411006,Pune,Maharashtra,No
C29817405,P4140765,U425443,Comprehensive,Motorcycle,Rear Collision,06/15/2024,06/15/2024,7140.34,5993.98,Yes,Major,10072,560006,Bengaluru,Karnataka,Yes
C31223304,P6845027,U500231,Comprehensive,SUV,Windshield Damage,10/15/2023,10/16/2023,21404.6,17626.01,No,None,6675,600007,Chennai,Tamil Nadu,No
C71533532,P4160994,U903914,Comprehensive,Hatchback,Single Vehicle,04/30/2024,05/03/2024,29736.72,24434.54,No,None,15660,226005,Lucknow,Uttar Pradesh,No
C93504958,P0218192,U853946,Motor TP,Hatchback,Single Vehicle,03/10/2023,03/17/2023,23495.26,18211.55,No,None,17678,500009,Hyderabad,Telangana,No
C51824885,P4032048,U160774,Comprehensive,Van,Single Vehicle,01/22/2023,01/27/2023,46256.25,33320.96,No,None,14687,400007,Mumbai,Maharashtra,Yes
C87534423,P2293235,U168136,Comprehensive,SUV,Head-on,08/21/2024,08/23/2024,109491.43,91339.19,Yes,Minor,14644,400008,Mumbai,Maharashtra,Yes
C15521616,P3510181,U754891,Motor TP,Hatchback,Single Vehicle,11/12/2023,11/13/2023,36675.93,32444.88,Yes,None,16491,500003,Hyderabad,Telangana,No
C50963635,P2326058,U108275,Motor TP,Hatchback,Theft,05/02/2024,05/08/2024,23624.27,21557.62,Yes,None,11024,226006,Lucknow,Uttar Pradesh,No
C13914525,P0494737,U269473,Comprehensive,Hatchback,Parking Bump,01/03/2024,01/07/2024,2000.0,1775.84,Yes,None,11317,500004,Hyderabad,Telangana,Yes
C09761975,P6924079,U551173,Motor OD,Hatchback,Side Collision,03/16/2024,03/18/2024,23743.28,21326.41,Yes,None,11309,700002,Kolkata,West Bengal,No
C15764574,P4565145,U917995,Motor OD,Hatchback,Single Vehicle,09/21/2023,09/25/2023,12590.24,10889.39,Yes,None,14207,400005,Mumbai,Maharashtra,Yes
C52019179,P4205806,U714474,Comprehensive,Sedan,Single Vehicle,03/19/2025,04/11/2025,36043.14,27940.89,Yes,None,13020,600004,Chennai,Tamil Nadu,Yes
C25426714,P7520115,U517870,Comprehensive,Hatchback,Side Collision,11/05/2023,11/06/2023,11385.13,8585.61,Yes,None,11453,380005,Ahmedabad,Gujarat,No
C90352187,P9685699,U421661,Comprehensive,Motorcycle,Rear Collision,01/01/2023,01/03/2023,6795.22,6713.85,Yes,Minor,12954,700005,Kolkata,West Bengal,No
C41918956,P1979157,U817601,Motor OD,Hatchback,Single Vehicle,02/18/2025,02/22/2025,30079.35,24298.52,Yes,None,14200,302006,Jaipur,Rajasthan,Yes
C42869856,P9297056,U944429,Comprehensive,SUV,Parking Bump,09/19/2023,09/22/2023,28544.0,25204.93,Yes,None,7077,302004,Jaipur,Rajasthan,Yes
C12836988,P0492018,U250232,Comprehensive,SUV,Rear Collision,04/28/2024,05/05/2024,36204.48,29151.03,No,None,12551,380007,Ahmedabad,Gujarat,No
C76865751,P3739778,U829198,Motor OD,SUV,Head-on,02/19/2025,02/21/2025,49437.52,42365.83,Yes,None,11670,400007,Mumbai,Maharashtra,No
C67426357,P6528944,U554058,Comprehensive,Hatchback,Theft,08/21/2023,09/02/2023,31368.31,24926.58,Yes,Minor,20666,226010,Lucknow,Uttar Pradesh,No
C92837705,P4164497,U601028,Comprehensive,Hatchback,Side Collision,01/14/2025,01/19/2025,37275.78,34396.92,No,None,13262,600009,Chennai,Tamil Nadu,No
C89722895,P8096339,U056223,Motor OD,Hatchback,Windshield Damage,04/23/2023,04/25/2023,12597.64,10789.38,Yes,Major,15133,110009,Delhi,Delhi,No
C68595018,P7843755,U479395,Comprehensive,Hatchback,Side Collision,07/25/2024,07/26/2024,25686.16,20583.82,Yes,None,1279,226005,Lucknow,Uttar Pradesh,No
C50061048,P1028647,U773024,Comprehensive,Sedan,Rear Collision,01/12/2025,01/22/2025,22770.42,21048.19,Yes,None,14991,380005,Ahmedabad,Gujarat,Yes
C70250616,P7045041,U065145,Comprehensive,SUV,Parking Bump,02/19/2024,02/24/2024,7671.09,6876.5,Yes,None,12628,600010,Chennai,Tamil Nadu,No
C12041208,P2550582,U675356,Motor OD,Hatchback,Side Collision,03/23/2024,03/26/2024,23240.02,19212.2,Yes,None,5524,380004,Ahmedabad,Gujarat,Yes
C83888197,P6608543,U778232,Comprehensive,Sedan,Rear Collision,04/13/2023,04/27/2023,13529.15,11828.64,Yes,None,3442,110004,Delhi,Delhi,No
C99106154,P9625489,U191958,Motor OD,Hatchback,Head-on,09/25/2025,09/29/2025,14988.71,10714.34,Yes,None,13523,560007,Bengaluru,Karnataka,No
C53637005,P6726562,U068252,Comprehensive,Motorcycle,Rear Collision,12/27/2023,01/06/2024,15827.77,15533.76,Yes,None,10629,400007,Mumbai,Maharashtra,Yes
C56742736,P1250364,U969350,Comprehensive,Hatchback,Theft,09/13/2024,09/18/2024,8798.6,6248.43,Yes,None,15126,560006,Bengaluru,Karnataka,No
C81105886,P4853868,U651549,Motor OD,Van,Windshield Damage,08/03/2024,08/05/2024,39907.85,36113.62,Yes,Minor,10609,110001,Delhi,Delhi,Yes
C34199498,P1179325,U357457,Motor TP,Motorcycle,Head-on,03/05/2023,03/12/2023,22515.63,16711.87,Yes,None,9628,110001,Delhi,Delhi,No
C56437340,P0456818,U175874,Comprehensive,Hatchback,Rear Collision,09/08/2023,09/08/2023,29231.4,25292.71,No,None,9349,226003,Lucknow,Uttar Pradesh,No
C02519899,P5246812,U066384,Comprehensive,SUV,Rear Collision,09/04/2023,09/04/2023,66235.19,64063.42,No,None,14667,777777,Pune,Maharashtra,No
C86494620,P1094905,U064123,Comprehensive,Hatchback,Side Collision,07/20/2025,07/20/2025,35710.36,27859.12,Yes,None,15598,411003,Pune,Maharashtra,Yes
C49107372,P4088086,U465026,Motor TP,Hatchback,Parking Bump,11/29/2023,11/30/2023,4523.83,4424.73,Yes,None,13388,110006,Delhi,Delhi,Yes
C56813353,P2053918,U402012,Comprehensive,Hatchback,Parking Bump,04/06/2024,04/08/2024,7772.13,6154.06,Yes,None,12909,411003,Pune,Maharashtra,No
C55699510,P6954244,U605717,Comprehensive,Hatchback,Head-on,01/26/2025,01/30/2025,32313.37,27435.15,Yes,None,8948,560004,Bengaluru,Karnataka,Yes
C94137456,P3818084,U981407,Motor TP,SUV,Head-on,08/09/2024,08/30/2024,64500.76,64437.61,Yes,None,10533,411006,Pune,Maharashtra,Yes
C94161559,P6023696,U414943,Comprehensive,Hatchback,Rear Collision,05/28/2023,05/30/2023,14162.77,10680.64,Yes,None,2710,560009,Bengaluru,Karnataka,No
C71424542,P5318068,U623232,Motor OD,Hatchback,Rear Collision,11/13/2024,11/27/2024,7731.24,7493.61,Yes,None,9926,600008,Chennai,Tamil Nadu,Yes
C42304334,P2074256,U075932,Comprehensive,SUV,Rear Collision,10/30/2023,11/04/2023,42855.36,41261.85,Yes,None,4326,380003,Ahmedabad,Gujarat,No
C25282161,P8209388,U889524,Comprehensive,SUV,Single Vehicle,05/13/2023,05/15/2023,65893.29,63009.5,Yes,None,12781,226007,Lucknow,Uttar Pradesh,Yes
C60200562,P2261298,U177951,Motor OD,Hatchback,Side Collision,07/22/2023,07/23/2023,14635.68,12995.51,No,None,9726,226001,Lucknow,Uttar Pradesh,Yes
C30494270,P2116197,U760244,Motor OD,Pickup,Side Collision,01/15/2023,02/05/2023,49681.27,48179.85,No,Major,11366,400005,Mumbai,Maharashtra,Yes
C04722039,P1309552,U504652,Comprehensive,Pickup,Theft,08/19/2025,09/12/2025,53885.66,38976.95,No,None,21642,500006,Hyderabad,Telangana,Yes
C31930909,P0536509,U179915,Motor TP,Pickup,Windshield Damage,06/19/2025,06/22/2025,17631.35,12550.36,Yes,Minor,17960,000000,Delhi,Delhi,Yes
C30631965,P8360465,U217602,Motor OD,Hatchback,Single Vehicle,12/16/2024,12/18/2024,36472.86,36207.89,No,Minor,10218,226008,Lucknow,Uttar Pradesh,Yes
C44548002,P9179363,U021518,Motor OD,Hatchback,Parking Bump,08/13/2023,09/03/2023,2000.0,1527.42,No,None,15188,560007,Bengaluru,Karnataka,Yes
C71901245,P9876607,U565058,Comprehensive,Motorcycle,Windshield Damage,03/22/2023,03/26/2023,10210.17,8738.85,Yes,None,12748,600008,Chennai,Tamil Nadu,No
C01006129,P2198342,U621458,Comprehensive,Sedan,Windshield Damage,05/22/2025,05/22/2025,11209.64,10923.11,Yes,None,7689,666666,Mumbai,Maharashtra,No
C67263645,P3880349,U025197,Comprehensive,SUV,Side Collision,11/21/2023,11/22/2023,63917.33,46177.73,No,None,13794,700009,Kolkata,West Bengal,No
C36392333,P0300585,U017600,Motor OD,Hatchback,Rear Collision,04/08/2025,04/08/2025,25883.47,22519.74,Yes,None,10687,600009,Chennai,Tamil Nadu,No
C02323724,P0101910,U171127,Motor OD,Hatchback,Single Vehicle,04/29/2023,05/01/2023,12195.85,10403.28,Yes,Minor,12878,700004,Kolkata,West Bengal,Yes
C47615216,P6472405,U617781,Comprehensive,Sedan,Rear Collision,05/15/2024,05/15/2024,33052.83,25303.99,Yes,None,19972,411007,Pune,Maharashtra,Yes
C09987742,P4082256,U697586,Comprehensive,Sedan,Single Vehicle,09/14/2025,09/16/2025,43769.74,32071.41,Yes,None,15074,500008,Hyderabad,Telangana,Yes
C12309345,P4940903,U703722,Motor OD,SUV,Single Vehicle,01/20/2024,01/24/2024,44328.01,40894.09,No,None,18252,226001,Lucknow,Uttar Pradesh,No
C16824252,P2873762,U360441,Comprehensive,Hatchback,Rear Collision,07/25/2024,07/28/2024,16974.65,13380.14,No,Major,11366,500009,Hyderabad,Telangana,Yes
C09087047,P9428753,U861775,Comprehensive,Sedan,Theft,10/16/2024,10/21/2024,64594.92,45321.91,Yes,None,13547,111111,Hyderabad,Telangana,Yes
C49589487,P5705283,U711970,Comprehensive,Hatchback,Side Collision,12/10/2023,12/10/2023,17156.79,16769.07,No,Minor,12760,302005,Jaipur,Rajasthan,No
C31177929,P4923687,U783607,Comprehensive,Sedan,Head-on,03/06/2025,03/07/2025,62609.71,57646.04,Yes,None,16720,110006,Delhi,Delhi,Yes
C63129231,P2309113,U849063,Motor TP,Sedan,Theft,11/28/2024,12/01/2024,26988.44,20890.17,No,None,8298,110006,Delhi,Delhi,No
C74819333,P2127397,U521828,Comprehensive,Hatchback,Single Vehicle,05/14/2024,05/17/2024,14721.35,12336.39,Yes,None,13233,380003,Ahmedabad,Gujarat,No
C31466356,P8977153,U193724,Comprehensive,Sedan,Head-on,10/20/2024,10/30/2024,79744.1,67864.32,No,None,7559,400006,Mumbai,Maharashtra,No
C46337271,P4215018,U079198,Comprehensive,SUV,Side Collision,01/14/2025,01/28/2025,76039.08,74325.86,No,None,7609,226001,Lucknow,Uttar Pradesh,Yes
C84668747,P7689510,U326878,Motor OD,Hatchback,Parking Bump,04/05/2023,04/05/2023,12382.74,10166.92,Yes,None,18060,411008,Pune,Maharashtra,No
C93999482,P3824887,U760505,Motor OD,Hatchback,Parking Bump,01/20/2024,01/20/2024,10178.66,9785.77,Yes,None,17092,226009,Lucknow,Uttar Pradesh,Yes
C22332968,P3655234,U280050,Motor OD,Hatchback,Single Vehicle,04/23/2024,05/16/2024,18218.6,17348.23,Yes,None,17699,500008,Hyderabad,Telangana,No
C89065803,P6597611,U359020,Comprehensive,Hatchback,Single Vehicle,08/31/2023,09/10/2023,13712.46,13191.16,Yes,Major,1951,380003,Ahmedabad,Gujarat,No
C92466183,P0463738,U980453,Motor OD,Hatchback,Rear Collision,07/10/2023,07/12/2023,8048.49,6520.47,No,None,9922,560007,Bengaluru,Karnataka,No
C65186911,P4805444,U376235,Motor OD,Motorcycle,Rear Collision,11/24/2023,11/26/2023,5839.54,5644.56,No,None,12365,302001,Jaipur,Rajasthan,Yes
C12293420,P4921813,U257377,Motor TP,SUV,Single Vehicle,05/03/2023,05/07/2023,45484.22,34589.52,Yes,None,1921,600009,Chennai,Tamil Nadu,No
C75546698,P2889368,U771195,Comprehensive,Sedan,Side Collision,06/22/2025,06/29/2025,42420.68,32493.38,No,None,10244,411008,Pune,Maharashtra,Yes
C19717976,P7421544,U322719,Motor OD,Hatchback,Windshield Damage,12/19/2024,12/19/2024,14751.88,12772.48,Yes,None,16541,666666,Bengaluru,Karnataka,Yes
C10377643,P9616213,U561091,Comprehensive,Sedan,Side Collision,03/08/2023,03/08/2023,33995.56,27558.65,No,Minor,9854,226007,Lucknow,Uttar Pradesh,No
C42714500,P4807874,U197651,Comprehensive,SUV,Single Vehicle,04/22/2025,04/22/2025,37157.91,33018.59,No,Minor,7245,400003,Mumbai,Maharashtra,No
C77689389,P3668522,U518826,Comprehensive,Hatchback,Windshield Damage,11/20/2024,11/21/2024,9480.14,8917.18,Yes,Minor,13565,110005,Delhi,Delhi,No
C76691253,P6950119,U889050,Motor OD,Hatchback,Theft,05/18/2024,05/22/2024,53100.19,41698.41,Yes,None,5875,500003,Hyderabad,Telangana,Yes
C14409269,P0759710,U835265,Motor OD,Sedan,Single Vehicle,08/19/2025,08/19/2025,43497.76,39692.47,Yes,None,8362,600004,Chennai,Tamil Nadu,Yes
C31089476,P9246997,U539792,Comprehensive,SUV,Side Collision,04/21/2024,04/21/2024,75920.98,63895.96,No,Minor,10998,411008,Pune,Maharashtra,Yes
C17405081,P4648813,U329766,Comprehensive,Sedan,Rear Collision,04/25/2025,04/27/2025,54255.6,39589.39,Yes,None,9261,226005,Lucknow,Uttar Pradesh,No
C10119366,P9174378,U192071,Comprehensive,Pickup,Head-on,04/15/2024,04/15/2024,53460.13,40054.29,Yes,Minor,5895,222222,Mumbai,Maharashtra,No
C56712629,P7184451,U250443,Comprehensive,Sedan,Head-on,08/15/2024,08/16/2024,45910.77,42317.31,Yes,Minor,9496,400009,Mumbai,Maharashtra,Yes
C01773158,P9591652,U526700,Motor TP,Sedan,Single Vehicle,04/10/2024,04/14/2024,23758.42,21873.34,Yes,None,7317,380003,Ahmedabad,Gujarat,Yes
C69371058,P5728546,U392327,Motor OD,Motorcycle,Theft,05/07/2023,05/18/2023,17119.76,12835.14,Yes,None,20282,500005,Hyderabad,Telangana,No
C71914503,P4714309,U372259,Comprehensive,Hatchback,Side Collision,03/07/2025,03/12/2025,32717.11,28609.23,Yes,Minor,17098,700004,Kolkata,West Bengal,Yes
C02876422,P2867648,U676594,Comprehensive,Hatchback,Rear Collision,09/30/2025,09/30/2025,16051.63,12872.37,No,None,9977,560005,Bengaluru,Karnataka,No
C85739037,P8961512,U330919,Motor OD,Sedan,Side Collision,06/22/2025,07/06/2025,40821.66,30321.16,Yes,None,8725,500010,Hyderabad,Telangana,Yes
C52106721,P6700920,U182929,Comprehensive,Hatchback,Parking Bump,03/07/2023,03/08/2023,2000.0,1972.69,No,None,11379,411002,Pune,Maharashtra,Yes
C61988842,P8628063,U078175,Motor OD,Sedan,Head-on,07/14/2025,07/28/2025,26253.89,21876.77,Yes,None,13602,400001,Mumbai,Maharashtra,No
C09456950,P8003270,U015023,Comprehensive,Hatchback,Rear Collision,05/30/2023,06/27/2023,15096.18,11858.28,Yes,None,17337,500009,Hyderabad,Telangana,Yes
C41950566,P8115577,U908854,Motor TP,Sedan,Parking Bump,10/18/2023,10/19/2023,15387.13,11920.18,Yes,None,10973,302007,Jaipur,Rajasthan,Yes
C49337151,P2523865,U276783,Comprehensive,Hatchback,Single Vehicle,06/28/2024,07/01/2024,28419.47,20804.9,Yes,None,14299,560007,Bengaluru,Karnataka,No
C27472018,P3403291,U359895,Comprehensive,Sedan,Rear Collision,04/12/2024,04/15/2024,41993.54,35869.82,Yes,None,13099,110005,Delhi,Delhi,Yes
C31849070,P0695815,U202241,Comprehensive,SUV,Side Collision,12/30/2023,01/01/2024,27864.7,23631.51,No,None,14851,700008,Kolkata,West Bengal,No
C30365899,P0045761,U332289,Comprehensive,Hatchback,Single Vehicle,10/12/2023,10/16/2023,41557.32,36543.49,No,None,13805,302001,Jaipur,Rajasthan,Yes
C08405460,P7854830,U639043,Motor TP,Hatchback,Side Collision,08/18/2023,08/22/2023,19731.68,18657.04,Yes,None,4543,226009,Lucknow,Uttar Pradesh,No
C08625980,P7343790,U481323,Comprehensive,Van,Single Vehicle,06/02/2023,07/02/2023,28312.08,24111.41,Yes,None,14290,560008,Bengaluru,Karnataka,Yes
C20036408,P5302454,U409430,Comprehensive,Motorcycle,Head-on,10/14/2023,10/18/2023,16365.0,12862.44,Yes,None,10066,380003,Ahmedabad,Gujarat,No
C40070334,P0958063,U378255,Comprehensive,SUV,Rear Collision,07/06/2024,07/20/2024,20992.19,19542.68,Yes,None,18448,302007,Jaipur,Rajasthan,Yes
C75193356,P5774977,U619638,Comprehensive,SUV,Windshield Damage,03/12/2023,03/22/2023,25506.64,24945.43,Yes,None,15881,226007,Lucknow,Uttar Pradesh,No
C57418266,P8334872,U924588,Comprehensive,Hatchback,Rear Collision,09/14/2024,09/14/2024,20566.46,16460.54,No,Minor,12768,411004,Pune,Maharashtra,No
C27257085,P2357102,U647735,Comprehensive,Hatchback,Head-on,05/30/2023,05/31/2023,29412.67,23624.33,Yes,None,11019,600003,Chennai,Tamil Nadu,No
C95797013,P4307973,U268702,Comprehensive,Sedan,Rear Collision,10/27/2023,10/30/2023,40017.52,29470.82,Yes,None,14862,500006,Hyderabad,Telangana,No
C86816011,P4954298,U601327,Comprehensive,SUV,Rear Collision,05/12/2024,05/17/2024,18342.83,15769.39,Yes,Minor,7882,411001,Pune,Maharashtra,No
C22062976,P0591925,U020605,Comprehensive,Pickup,Head-on,08/19/2023,08/22/2023,50722.81,46190.42,Yes,Minor,11799,700002,Kolkata,West Bengal,Yes
C10503047,P5648513,U979178,Comprehensive,Sedan,Single Vehicle,04/02/2025,04/05/2025,36777.17,25764.74,Yes,None,6808,500004,Hyderabad,Telangana,No
C29907935,P7531608,U144251,Comprehensive,Sedan,Theft,03/13/2023,03/27/2023,62773.92,53916.31,Yes,None,5883,302005,Jaipur,Rajasthan,No
C94637557,P7961059,U550985,Motor OD,SUV,Single Vehicle,01/04/2024,01/08/2024,47140.57,46305.6,Yes,None,8036,600004,Chennai,Tamil Nadu,No
